단축코드,한글 종목명,한글 종목약명,Unnamed: 3,어제종가
92440,기신정기 보통주,기신정기,,2655.0
270,기아보통주,기아,,107100.0
456700,길교이앤씨,길교이앤씨,,19400.0
13700,까뮤이앤씨보통주,까뮤이앤씨,,1430.0
308100,까스텔바작,까스텔바작,,3430.0
4545,깨끗한나라1우선주,깨끗한나라우,,13510.0
4540,깨끗한나라보통주,깨끗한나라,,2285.0
407400,꿈비,꿈비,,7530.0
187790,나노,나노,,1025.0
286750,나노브릭,나노브릭,,1791.0
121600,나노신소재,나노신소재,,90200.0
247660,나노씨엠에스,나노씨엠에스,,10840.0
39860,나노엔텍,나노엔텍,,3415.0
91970,나노캠텍,나노캠텍,,579.0
417010,나노팀,나노팀,,9430.0
244880,나눔테크,나눔테크,,2590.0
405920,나라셀라,나라셀라,,4240.0
288490,나라소프트,나라소프트,,150.0
51490,나라엠앤디,나라엠앤디,,4725.0
137080,나래나노텍,나래나노텍,,4610.0
190510,나무가,나무가,,12220.0
242040,나무기술,나무기술,,1956.0
89600,나스미디어,나스미디어,,16810.0
293580,나우아이비캐피탈,나우IB,,1116.0
257990,나우코스,나우코스,,4800.0
138610,나이벡,나이벡,,18760.0
130580,나이스디앤비,나이스디앤비,,4925.0
36800,나이스정보통신,나이스정보통신,,19970.0
30190,나이스평가정보보통주,NICE평가정보,,10200.0
267320,나인테크,나인테크,,2515.0
1260,남광토건보통주,남광토건,,7500.0
8355,남선알미늄1우선주,남선알미우,,17630.0
8350,남선알미늄보통주,남선알미늄,,1544.0
4270,남성보통주,남성,,1510.0
3925,남양유업1우선주,남양유업우,,354000.0
3920,남양유업보통주,남양유업,,508000.0
25860,남해화학보통주,남해화학,,6990.0
111710,남화산업,남화산업,,5000.0
91590,남화토건,남화토건,,4155.0
168330,내츄럴엔도텍,내츄럴엔도텍,,2065.0
94860,네오리진,네오리진,,1554.0
253590,네오셈,네오셈,,11640.0
212560,네오오토,네오오토,,7830.0
95660,네오위즈,네오위즈,,20100.0
42420,네오위즈홀딩스,네오위즈홀딩스,,16900.0
950220,네오이뮨텍,네오이뮨텍,,1442.0
