단축코드,한글 종목명,한글 종목약명,Unnamed: 3,어제종가
190510,나무가,나무가,,12370.0
242040,나무기술,나무기술,,1598.0
089600,나스미디어,나스미디어,,15140.0
293580,나우아이비캐피탈,나우IB,,970.0
257990,나우코스,나우코스,,4890.0
138610,나이벡,나이벡,,16820.0
130580,나이스디앤비,나이스디앤비,,5080.0
036800,나이스정보통신,나이스정보통신,,18960.0
030190,나이스평가정보보통주,NICE평가정보,,11010.0
267320,나인테크,나인테크,,2180.0
001260,남광토건보통주,남광토건,,6760.0
008355,남선알미늄1우선주,남선알미우,,17040.0
008350,남선알미늄보통주,남선알미늄,,1426.0
004270,남성보통주,남성,,1286.0
003925,남양유업1우선주,남양유업우,,399500.0
003920,남양유업보통주,남양유업,,687000.0
025860,남해화학보통주,남해화학,,6530.0
111710,남화산업,남화산업,,5400.0
091590,남화토건,남화토건,,3965.0
168330,내츄럴엔도텍,내츄럴엔도텍,,1488.0
094860,네오리진,네오리진,,1338.0
253590,네오셈,네오셈,,10620.0
212560,네오오토,네오오토,,8460.0
095660,네오위즈,네오위즈,,20950.0
042420,네오위즈홀딩스,네오위즈홀딩스,,20250.0
950220,네오이뮨텍,네오이뮨텍,,1390.0
311390,네오크레마,네오크레마,,7410.0
085910,네오티스,네오티스,,3475.0
092730,네오팜,네오팜,,14050.0
290660,네오펙트,네오펙트,,922.0
306620,네온테크,네온테크,,2390.0
153460,네이블,네이블,,6160.0
007390,네이처셀,네이처셀,,20950.0
033640,네패스,네패스,,7640.0
330860,네패스아크,네패스아크,,12910.0
005725,넥센1우선주,넥센우,,3120.0
005720,넥센보통주,넥센,,4670.0
002355,넥센타이어1우선주(신형),넥센타이어1우B,,3175.0
002350,넥센타이어보통주,넥센타이어,,6680.0
089140,넥스턴바이오사이언스,넥스턴바이오,,3915.0
137940,넥스트아이,넥스트아이,,414.0
160550,넥스트엔터테인먼트월드,NEW,,2365.0
396270,넥스트칩,넥스트칩,,13960.0
348210,넥스틴,넥스틴,,66000.0
092790,넥스틸보통주,넥스틸,,11080.0
225570,넥슨게임즈,넥슨게임즈,,14760.0
217270,넵튠,넵튠,,5680.0
251270,넷마블보통주,넷마블,,53400.0
317860,노드메이슨,노드메이슨,,6000.0
104620,노랑풍선,노랑풍선,,5090.0
090355,노루페인트 1우선주,노루페인트우,,12950.0
090350,노루페인트 보통주,노루페인트,,8530.0
000325,노루홀딩스1우선주,노루홀딩스우,,28650.0
000320,노루홀딩스보통주,노루홀딩스,,13230.0
194700,노바렉스,노바렉스,,10380.0
285490,노바텍,노바텍,,11990.0
283100,노보믹스,노보믹스,,628.0
145170,노브랜드,노브랜드,,12930.0
229500,노브메타파마,노브메타파마,,4995.0
106520,노블엠앤비,노블엠앤비,,411.0
376930,노을,노을,,2665.0
006280,녹십자보통주,녹십자,,154200.0
142280,녹십자엠에스,녹십자엠에스,,4140.0
234690,녹십자웰빙,녹십자웰빙,,10090.0
005257,녹십자홀딩스2우선주(신형),녹십자홀딩스2우,,24050.0
005250,녹십자홀딩스보통주,녹십자홀딩스,,16320.0
065560,녹원씨엔아이,녹원씨엔아이,,
004370,농심보통주,농심,,364500.0
072710,농심홀딩스보통주,농심홀딩스,,67600.0
154030,농업회사법인 아시아종묘,아시아종묘,,2280.0
403490,농업회사법인 우듬지팜,우듬지팜,,1893.0
054050,농업회사법인농우바이오,농우바이오,,7370.0
069140,누리플랜,누리플랜,,1369.0
040160,누리플렉스,누리플렉스,,2465.0
332290,누보,누보,,1108.0
348340,뉴로메카,뉴로메카,,20550.0
060260,뉴보텍,뉴보텍,,1159.0
123840,뉴온,뉴온,,199.0
012340,뉴인텍,뉴인텍,,523.0
214870,뉴지랩파마,뉴지랩파마,,6920.0
270870,뉴트리,뉴트리,,9260.0
144960,뉴파워프라즈마,뉴파워프라즈마,,5120.0
085670,뉴프렉스,뉴프렉스,,4985.0
064260,다날,다날,,3180.0
340360,다보링크,다보링크,,2520.0
039560,다산네트웍스,다산네트웍스,,3580.0
154040,다산솔루에타,다산솔루에타,,1448.0
058730,다스코보통주,다스코,,3480.0
030210,다올투자증권보통주,다올투자증권,,2715.0
023590,다우기술보통주,다우기술,,18450.0
032190,다우데이타,다우데이타,,10820.0
323350,다원넥스뷰,다원넥스뷰,,7090.0
068240,다원시스,다원시스,,10640.0
145210,다이나믹디자인보통주,다이나믹디자인,,2425.0
019680,대교보통주,대교,,2415.0
019685,대교우선주(신형),대교우B,,1319.0
006370,대구백화점보통주,대구백화점,,7320.0
00806K,대덕1우선주,대덕1우,,6490.0
008060,대덕보통주,대덕,,6500.0
353200,대덕전자보통주,대덕전자,,18250.0
35320K,대덕전자우선주,대덕전자1우,,8290.0
178600,대동고려삼 주식회사,대동고려삼,,3275.0
020400,대동금속,대동금속,,6210.0
008830,대동기어,대동기어,,8040.0
000490,대동보통주,대동,,8950.0
048470,대동스틸,대동스틸,,3780.0
008110,대동전자보통주,대동전자,,15040.0
004780,대륙제관,대륙제관,,4095.0
005750,대림B&Co보통주,대림B&Co,,3550.0
017650,대림제지,대림제지,,7000.0
006570,대림통상보통주,대림통상,,2915.0
007720,대명소노시즌,대명소노시즌,,1031.0
389260,대명에너지,대명에너지,,10940.0
317850,대모엔지니어링,대모,,10330.0
290670,대보마그네틱,대보마그네틱,,15700.0
078140,대봉엘에스,대봉엘에스,,16390.0
065150,대산에프앤비,대산F&B,,145.0
001685,대상1우선주,대상우,,17040.0
001680,대상보통주,대상,,20000.0
084695,대상홀딩스 1우선주,대상홀딩스우,,21000.0
084690,대상홀딩스 보통주,대상홀딩스,,8620.0
036480,대성미생물연구소,대성미생물,,10040.0
128820,대성산업보통주,대성산업,,3390.0
117580,대성에너지보통주,대성에너지,,9300.0
027830,대성창업투자,대성창투,,1518.0
104040,대성파인텍,대성파인텍,,946.0
129920,대성하이텍,대성하이텍,,3995.0
016710,대성홀딩스보통주,대성홀딩스,,7650.0
438220,대신밸런스제13호기업인수목적,대신밸런스제13호스팩,,2605.0
442310,대신밸런스제14호기업인수목적,대신밸런스제14호스팩,,2180.0
457390,대신밸런스제15호기업인수목적,대신밸런스제15호스팩,,2385.0
457630,대신밸런스제16호기업인수목적,대신밸런스제16호스팩,,2175.0
471050,대신밸런스제17호기업인수목적,대신밸런스제17호스팩,,2130.0
020180,대신정보통신,대신정보통신,,884.0
003545,대신증권1우선주,대신증권우,,15160.0
003547,대신증권2우선주(신형),대신증권2우B,,14630.0
003540,대신증권보통주,대신증권,,16780.0
045390,대아티아이,대아티아이,,2830.0
009190,대양금속보통주,대양금속,,1729.0
108380,대양전기공업,대양전기공업,,12350.0
014160,대영포장보통주,대영포장,,1021.0
047040,대우건설보통주,대우건설,,3705.0
009320,대우전자부품보통주,대우부품,,1115.0
003090,대웅보통주,대웅,,24300.0
069620,대웅제약보통주,대웅제약,,151700.0
007680,대원,대원,,4510.0
000430,대원강업보통주,대원강업,,3995.0
048910,대원미디어,대원미디어,,7800.0
005710,대원산업,대원산업,,5850.0
006345,대원전선1우선주,대원전선우,,3730.0
006340,대원전선보통주,대원전선,,3055.0
003220,대원제약보통주,대원제약,,14370.0
024890,대원화성보통주,대원화성,,1060.0
290380,대유,대유,,2300.0
002880,대유에이텍,대유에이텍,,1130.0
000300,대유플러스보통주,대유플러스,,1984.0
120240,대정화금,대정화금,,13740.0
003310,대주산업,대주산업,,1440.0
114920,대주이엔티 주식회사,대주이엔티,,2785.0
078600,대주전자재료,대주전자재료,,92400.0
015230,대창단조보통주,대창단조,,5340.0
012800,대창보통주,대창,,1244.0
096350,대창솔루션,대창솔루션,,390.0
140520,대창스틸,대창스틸,,2255.0
131220,대한과학,대한과학,,4780.0
010170,대한광통신,대한광통신,,1045.0
054670,대한뉴팜,대한뉴팜,,7720.0
001070,대한방직보통주,대한방직,,5880.0
023910,대한약품공업,대한약품,,25400.0
006650,대한유화보통주,대한유화,,97600.0
